epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1649,1.296,2.11762,1.16876,1.30996,0,4e-05,0.00181,0,0,0,0,0,0,5.06746,67.241,10921.9,20.1714,0,0.00330218,0.00330218,0.0702804
2,80.0979,1.16412,1.82021,0.82345,1.18194,0,0.53825,0.60453,0.51508,0.27028,0.51991,0.57877,0.48071,0.22678,1.32473,2.96795,5.45598,1.56223,0,0.00660267,0.00660267,0.0402475
3,117.293,1.04239,1.59055,0.71163,1.11706,0,0.57241,0.57302,0.51394,0.26486,0.54844,0.53151,0.45656,0.21932,1.36484,2.78199,5.21119,1.52188,0,0.00987016,0.00987016,0.0101817
4,152.943,1.06992,1.58457,0.71835,1.14129,0,0.5671,0.53577,0.49618,0.25279,0.55301,0.49245,0.4467,0.20046,1.36129,2.55481,4.05695,1.4803,0,0.0098515,0.0098515,0.0098515
5,187.797,0.96906,1.45572,0.64403,1.08786,0,0.69658,0.58203,0.62782,0.36903,0.67856,0.53544,0.56875,0.30612,1.35248,2.08739,1.89524,1.5216,0,0.009802,0.009802,0.009802
6,223.659,0.96504,1.39009,0.62874,1.08872,0,0.82337,0.72744,0.7689,0.48668,0.79829,0.70528,0.72652,0.42409,1.01237,1.89346,1.14908,1.24224,0,0.0097525,0.0097525,0.0097525
7,258.996,0.8918,1.33827,0.58368,1.05166,0,0.6153,0.57877,0.53658,0.29816,0.61994,0.55185,0.51432,0.2598,1.33276,2.83842,1.22664,1.51922,0,0.009703,0.009703,0.009703
8,293.943,0.87956,1.29795,0.56679,1.04238,0,0.68916,0.57105,0.61167,0.38257,0.67962,0.52248,0.55442,0.32603,1.25265,3.02738,1.55838,1.41132,0,0.0096535,0.0096535,0.0096535
9,329.164,0.83527,1.23451,0.54055,1.02693,0,0.70204,0.54201,0.5927,0.35465,0.70301,0.51674,0.55192,0.3011,1.41051,2.57778,1.77334,1.57922,0,0.009604,0.009604,0.009604
10,364.017,0.84204,1.24418,0.55184,1.02483,0,0.71969,0.53927,0.62268,0.37812,0.73155,0.49772,0.55166,0.29413,1.28149,2.47249,1.44912,1.45509,0,0.0095545,0.0095545,0.0095545
11,399.012,0.84242,1.22478,0.53492,1.0269,0,0.83389,0.67246,0.73772,0.47904,0.84556,0.65854,0.70867,0.42179,1.05083,2.00418,1.00442,1.29191,0,0.009505,0.009505,0.009505
12,433.884,0.8091,1.19554,0.52171,1.00995,0,0.8674,0.72673,0.77878,0.52425,0.85142,0.71004,0.74256,0.47626,0.85848,1.48494,0.64603,1.12989,0,0.0094555,0.0094555,0.0094555
13,469.353,0.80267,1.16599,0.51498,1.009,0,0.83788,0.69445,0.75091,0.51578,0.82165,0.68346,0.72667,0.44435,0.86228,1.45357,0.77834,1.12748,0,0.009406,0.009406,0.009406
14,504.286,0.79372,1.16893,0.51159,1.00744,0,0.8905,0.69659,0.76721,0.52752,0.88057,0.68789,0.74335,0.47083,0.88379,1.54229,0.72676,1.16358,0,0.0093565,0.0093565,0.0093565
15,539.043,0.7835,1.14878,0.50297,0.99897,0,0.78877,0.69793,0.72878,0.4831,0.77873,0.68608,0.70003,0.42381,0.87086,1.64989,0.77582,1.14286,0,0.009307,0.009307,0.009307
16,573.79,0.78201,1.15093,0.49518,0.99599,0,0.8906,0.68266,0.77075,0.52889,0.88173,0.67411,0.74753,0.4801,0.85806,1.62047,0.73768,1.11095,0,0.0092575,0.0092575,0.0092575
17,609.113,0.77739,1.13315,0.49482,0.99216,0,0.88196,0.70791,0.77906,0.54234,0.85318,0.68943,0.7413,0.47165,0.82406,1.71266,0.72587,1.11953,0,0.009208,0.009208,0.009208
18,644.563,0.75582,1.12664,0.48454,0.98327,0,0.88264,0.70414,0.77279,0.51528,0.86593,0.68773,0.74257,0.47426,0.928,1.69544,0.70633,1.17502,0,0.0091585,0.0091585,0.0091585
19,679.436,0.78554,1.14688,0.50058,0.99625,0,0.709,0.5105,0.57639,0.35153,0.74165,0.45742,0.53066,0.30227,1.51313,2.39922,3.12629,1.89295,0,0.009109,0.009109,0.009109
20,714.475,0.75016,1.11282,0.49014,0.98209,0,0.84042,0.68608,0.75669,0.50174,0.82502,0.66615,0.71967,0.41564,0.99316,2.02815,0.88995,1.23087,0,0.0090595,0.0090595,0.0090595
21,749.327,0.74672,1.11747,0.48322,0.98214,0,0.87607,0.64382,0.70292,0.50437,0.86102,0.62652,0.67602,0.44608,0.8777,1.66262,0.79012,1.18193,0,0.00901,0.00901,0.00901
22,784.228,0.74253,1.10002,0.47735,0.97847,0,0.84843,0.66442,0.73797,0.51181,0.83762,0.65392,0.71201,0.46078,0.87812,1.41235,0.73441,1.15026,0,0.0089605,0.0089605,0.0089605
23,819.128,0.73579,1.07618,0.46893,0.97479,0,0.89998,0.71907,0.78792,0.54651,0.8709,0.69074,0.73354,0.46668,0.83234,1.91085,0.66193,1.10463,0,0.008911,0.008911,0.008911
24,853.954,0.73518,1.08917,0.47126,0.97429,0,0.88057,0.6874,0.76654,0.53486,0.87395,0.66783,0.73199,0.46843,0.81572,1.51331,0.6932,1.12517,0,0.0088615,0.0088615,0.0088615
25,888.807,0.70839,1.04966,0.45037,0.9638,0,0.90154,0.75648,0.83169,0.59132,0.89826,0.73909,0.79519,0.52246,0.7865,1.48444,0.6254,1.06437,0,0.008812,0.008812,0.008812
26,924.517,0.73714,1.08457,0.46483,0.97191,0,0.83531,0.63336,0.71373,0.48424,0.83759,0.62996,0.70443,0.44234,0.88834,1.65639,0.76113,1.1267,0,0.0087625,0.0087625,0.0087625
27,959.638,0.71726,1.05793,0.46092,0.9636,0,0.88506,0.69166,0.76607,0.55257,0.87587,0.67389,0.73347,0.49292,0.84257,1.46897,0.74974,1.12324,0,0.008713,0.008713,0.008713
28,994.403,0.72608,1.06398,0.45966,0.96942,0,0.89739,0.73794,0.80933,0.57532,0.87755,0.73548,0.78212,0.51517,0.77106,1.6643,0.63053,1.06997,0,0.0086635,0.0086635,0.0086635
29,1029.48,0.70735,1.05477,0.44768,0.96424,0,0.90247,0.73642,0.81872,0.58551,0.88879,0.72526,0.79206,0.5276,0.76344,1.50963,0.64743,1.07901,0,0.008614,0.008614,0.008614
30,1064.46,0.71405,1.04067,0.45719,0.96155,0,0.89284,0.72415,0.77762,0.56825,0.8804,0.71579,0.7532,0.51776,0.77986,1.48524,0.57901,1.08573,0,0.0085645,0.0085645,0.0085645
31,1099.35,0.7068,1.05089,0.45048,0.9593,0,0.83844,0.66738,0.72334,0.50539,0.83062,0.65662,0.70381,0.45774,0.84809,1.51602,0.75925,1.13449,0,0.008515,0.008515,0.008515
32,1134.17,0.70972,1.03604,0.45387,0.96252,0,0.91717,0.73646,0.79526,0.55435,0.91202,0.73564,0.78059,0.50386,0.78286,1.58584,0.62389,1.06828,0,0.0084655,0.0084655,0.0084655
33,1169.09,0.70365,1.04383,0.45077,0.95807,0,0.91225,0.69946,0.77153,0.56199,0.89453,0.69019,0.73726,0.50078,0.76131,1.43897,0.62281,1.06725,0,0.008416,0.008416,0.008416
34,1204.42,0.69489,1.02667,0.44312,0.95617,0,0.87353,0.73433,0.80181,0.56873,0.85752,0.7125,0.76752,0.51286,0.75637,1.37377,0.64946,1.06112,0,0.0083665,0.0083665,0.0083665
35,1239.28,0.68605,1.0126,0.43819,0.95402,0,0.88212,0.70114,0.77377,0.54681,0.87267,0.6956,0.76002,0.49688,0.78026,1.42132,0.70508,1.07798,0,0.008317,0.008317,0.008317
36,1274.23,0.68667,1.01364,0.43543,0.95345,0,0.89624,0.72268,0.79016,0.57107,0.90308,0.69741,0.76229,0.52736,0.73304,1.43558,0.63681,1.05605,0,0.0082675,0.0082675,0.0082675
37,1309.09,0.69986,1.0348,0.44069,0.95808,0,0.83413,0.67246,0.73387,0.53391,0.82656,0.65901,0.70569,0.46124,0.77231,1.5636,0.82404,1.09387,0,0.008218,0.008218,0.008218
38,1343.98,0.69504,1.02535,0.44173,0.95519,0,0.86779,0.71119,0.77996,0.5634,0.84717,0.69429,0.74856,0.49683,0.74194,1.44157,0.65446,1.07322,0,0.0081685,0.0081685,0.0081685
39,1378.89,0.68638,1.01251,0.43953,0.95282,0,0.91974,0.70708,0.7794,0.54875,0.89269,0.67804,0.73905,0.48574,0.79055,1.4201,0.8123,1.10114,0,0.008119,0.008119,0.008119
40,1413.76,0.67603,1.00098,0.43169,0.94582,0,0.87941,0.70483,0.77225,0.56779,0.86278,0.6915,0.74019,0.50501,0.74512,1.41898,0.60284,1.06205,0,0.0080695,0.0080695,0.0080695
41,1448.64,0.67873,1.01276,0.43193,0.94643,0,0.8955,0.69101,0.74084,0.5262,0.88479,0.67525,0.72341,0.47844,0.79216,1.51241,0.77109,1.09507,0,0.00802,0.00802,0.00802
42,1483.55,0.67974,1.00038,0.42849,0.94754,0,0.89225,0.72169,0.79585,0.58305,0.88102,0.70873,0.77146,0.53266,0.71322,1.36014,0.53801,1.05073,0,0.0079705,0.0079705,0.0079705
43,1519.07,0.67941,1.01089,0.42775,0.94732,0,0.88292,0.7171,0.77618,0.56602,0.86742,0.70135,0.74672,0.50841,0.73527,1.42099,0.70746,1.06377,0,0.007921,0.007921,0.007921
44,1553.93,0.66487,0.98878,0.42227,0.94008,0,0.91818,0.72741,0.81603,0.59218,0.90356,0.71136,0.78276,0.54157,0.71075,1.32981,0.57671,1.02493,0,0.0078715,0.0078715,0.0078715
45,1589.34,0.67015,1.00146,0.42654,0.94419,0,0.90064,0.70802,0.76925,0.57013,0.89158,0.69806,0.74656,0.52176,0.72352,1.44861,0.60567,1.06204,0,0.007822,0.007822,0.007822
46,1624.27,0.66628,0.98707,0.42347,0.94102,0,0.87261,0.69068,0.76084,0.54902,0.85253,0.67706,0.73567,0.50191,0.77304,1.30182,0.63166,1.07904,0,0.0077725,0.0077725,0.0077725
47,1659.17,0.65692,0.97049,0.41618,0.93893,0,0.90948,0.71053,0.77205,0.56465,0.90159,0.70414,0.75206,0.50667,0.73708,1.39111,0.61336,1.06279,0,0.007723,0.007723,0.007723
48,1694.01,0.66408,0.97943,0.42186,0.94241,0,0.90117,0.72908,0.81015,0.59675,0.88623,0.71453,0.78402,0.53379,0.70047,1.36163,0.54822,1.02404,0,0.0076735,0.0076735,0.0076735
49,1728.98,0.66052,0.97982,0.41895,0.93859,0,0.88512,0.72219,0.79794,0.58015,0.86926,0.71726,0.77672,0.53461,0.72212,1.35438,0.59969,1.03967,0,0.007624,0.007624,0.007624
50,1763.87,0.65777,0.9661,0.41418,0.94067,0,0.90321,0.70414,0.77752,0.56414,0.88386,0.69436,0.74504,0.50321,0.7279,1.45643,0.60945,1.03498,0,0.0075745,0.0075745,0.0075745
51,1798.96,0.65461,0.96945,0.41458,0.93647,0,0.90153,0.71611,0.77405,0.56669,0.89856,0.71077,0.76024,0.525,0.7247,1.48504,0.65435,1.04334,0,0.007525,0.007525,0.007525
52,1833.66,0.64518,0.96817,0.41182,0.93566,0,0.91398,0.75648,0.83737,0.61433,0.90399,0.74729,0.81652,0.55385,0.68828,1.34694,0.53216,1.01904,0,0.0074755,0.0074755,0.0074755
53,1869.42,0.65554,0.96802,0.41203,0.93431,0,0.89708,0.72088,0.79338,0.57838,0.89764,0.71562,0.77837,0.52926,0.6911,1.41778,0.5723,1.01916,0,0.007426,0.007426,0.007426
54,1904.55,0.64399,0.95554,0.40915,0.93317,0,0.89935,0.72941,0.80345,0.58237,0.89242,0.71595,0.77296,0.51902,0.72146,1.34676,0.60663,1.0289,0,0.0073765,0.0073765,0.0073765
55,51.1398,0.6378,0.95757,0.40334,0.93033,0,0.90714,0.72465,0.8007,0.59165,0.90451,0.72169,0.7766,0.54141,0.69115,1.3399,0.52679,1.0432,0,0.007327,0.007327,0.007327
56,98.3184,0.65108,0.97005,0.40834,0.93153,0,0.92828,0.70089,0.7749,0.57453,0.90981,0.68694,0.73937,0.51217,0.68735,1.33672,0.60926,1.03255,0,0.0072775,0.0072775,0.0072775
57,143.718,0.64242,0.96321,0.40903,0.9334,0,0.85052,0.71201,0.76074,0.55784,0.84962,0.70331,0.73924,0.51301,0.73107,1.43887,0.55591,1.05684,0,0.007228,0.007228,0.007228
58,192.134,0.6477,0.95804,0.40848,0.9344,0,0.88714,0.70348,0.77024,0.57768,0.88696,0.69806,0.74962,0.53084,0.67364,1.244,0.60298,1.03239,0,0.0071785,0.0071785,0.0071785
59,238.944,0.639,0.94945,0.4069,0.93335,0,0.91552,0.71132,0.78211,0.58037,0.90877,0.70447,0.75065,0.52883,0.68619,1.54022,0.53922,1.0299,0,0.007129,0.007129,0.007129
60,285.912,0.63603,0.94551,0.40434,0.92951,0,0.90379,0.7045,0.77405,0.5746,0.8846,0.6893,0.74774,0.52763,0.67561,1.43625,0.57644,1.03766,0,0.0070795,0.0070795,0.0070795
61,334.516,0.63008,0.9463,0.39869,0.92687,0,0.87991,0.75845,0.82886,0.60998,0.87705,0.74664,0.80439,0.54788,0.67846,1.32831,0.51597,1.02159,0,0.00703,0.00703,0.00703
62,383.21,0.62448,0.93328,0.39441,0.9228,0,0.91987,0.74844,0.83087,0.61341,0.91041,0.73536,0.79965,0.55735,0.6558,1.31346,0.50124,1.00046,0,0.0069805,0.0069805,0.0069805
