,precision,recall,f1-score,support
Healthy,0.9619377162629758,0.9928571428571429,0.9771528998242531,280.0
Infected_Bacterial_Erysipelas,0.864963503649635,0.8943396226415095,0.8794063079777366,265.0
Infected_Bacterial_Greasy_Pig_Disease,0.9230769230769231,0.8976377952755905,0.9101796407185628,254.0
Infected_Environmental_Dermatitis,0.9276315789473685,0.9724137931034482,0.9494949494949495,290.0
Infected_Environmental_Sunburn,0.969811320754717,0.8862068965517241,0.9261261261261261,290.0
Infected_Fungal_Pityriasis_Rosea,0.9328621908127208,0.9134948096885813,0.9230769230769231,289.0
Infected_Fungal_Ringworm,0.98828125,0.933579335793358,0.9601518026565465,271.0
Infected_Parasitic_Mange,0.8364779874213837,0.8664495114006515,0.8512,307.0
Infected_Viral_Foot_and_Mouth_Disease,0.9130434782608695,0.978494623655914,0.9446366782006921,279.0
Infected_Viral_Swinepox,0.9855595667870036,0.9512195121951219,0.9680851063829787,287.0
accuracy,0.9285206258890469,0.9285206258890469,0.9285206258890469,0.9285206258890469
macro avg,0.9303645515973595,0.9286693043163042,0.928951043445877,2812.0
weighted avg,0.9299760770027822,0.9285206258890469,0.9286785392164227,2812.0
